CID,SMILES,MW,n_aromatic_rings,n_heteroatoms,n_rotatable_bonds,has_donor,has_acceptor
237,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,399.97,3,4,9,True,True
1266,N#Cc1ccc2cc1Oc1ccc3cccc(c3c1)N1CCC(NCc3cncn3C2)C1=O,435.49,4,7,0,True,True
1267,N#Cc1ccc2cc1Oc1ccc3cccc(c3c1)N1CCC(NCCc3cncn3C2)C1=O,449.51,4,7,0,True,True
1818,CN(C)CCNC(=O)c1cccc2c(N)c3cccc(F)c3nc12,326.38,3,5,4,True,True
1918,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)c2cc1N(C)C,814.6,3,25,14,True,True
2015,O=c1c2ccccc2[nH]c2ccccc12,195.22,3,2,0,True,True
2016,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,224.29,3,3,0,True,True
2017,CCOc1ccc2nc3cc(N)ccc3c(N)c2c1,253.31,3,4,2,True,True
2179,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,393.47,4,7,5,True,True
2764,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,331.35,2,6,3,True,True
2794,CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,473.41,3,4,4,True,True
2938,COc1ccc2[nH]c3ccc4cc[n+](CCN5CCC(CCCC6CCN(CC[n+]7ccc8ccc9[nH]c%10ccc(OC)cc%10c9c8c7)CC6)CC5)cc4c3c2c1,761.03,8,8,12,True,True
2957,CC[n+]1ccccc1C=Cc1ccc(N(C)C)cc1,253.37,2,2,4,True,True
3119,COc1ccc2[nH]c3ccc4cc[n+](CCN5CCC(C6CCN(CC[n+]7ccc8ccc9[nH]c%10ccc(OC)cc%10c9c8c7)CC6)CC5)cc4c3c2c1,718.95,8,8,9,True,True
3213,Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12,246.31,4,2,0,True,True
3357,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,369.34,2,6,4,True,True
3358,COc1ccc2[nH]c3ccc4cc[n+](CC[NH2+]CCCCCC[NH2+]CC[n+]5ccc6ccc7[nH]c8ccc(OC)cc8c7c6c5)cc4c3c2c1,668.89,8,8,15,True,True
3359,COc1ccc2[nH]c3ccc4cc[n+](CCNCCCCCCNCC[n+]5ccc6ccc7[nH]c8ccc(OC)cc8c7c6c5)cc4c3c2c1,666.87,8,8,15,True,True
3439,CN(Cc1coc2nc(N)nc(N)c12)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,442.43,3,12,9,True,True
3534,Nc1nc(N)c2c(Sc3ccc(N4CCOCC4)cc3)cccc2n1,353.45,3,7,3,True,True
3714,N#CCCn1c2ccccc2c2c3c(c4c5ccccc5[nH]c4c21)C(=O)NC3,364.41,5,5,2,True,True
3838,CN(C(Cc1ccc(OS(=O)(=O)c2cccc3cnccc23)cc1)C(=O)N1CCN(c2ccccc2)CC1)S(=O)(=O)c1cccc2cnccc12,721.86,6,13,10,True,True
3932,O=C1N(c2ccccc2)c2ccccc2C1(Cc1ccncc1)Cc1ccncc1,391.47,4,4,5,True,True
3948,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,351.35,2,6,3,True,True
4112,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,454.45,3,13,9,True,True
4259,COc1c(N2CC3CCCNC3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,401.44,2,7,4,True,True
4410,CC1CCc2c(N3CCC(O)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,360.39,2,6,2,True,True
4539,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,319.34,2,6,3,True,True
4583,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,361.37,2,7,2,True,True
4658,COc1ccccc1N1CCN(CCN(C(=O)c2ccc(I)cc2)c2ccccn2)CC1,542.42,3,6,7,True,True
4747,N#Cc1ccc2c(c1)N(CCCN1CCC(O)CC1)c1ccccc1S2,365.5,2,5,4,True,True
5003,COc1cc(N(CC(=O)O)CC(=O)O)c2nc(COc3ccc(C)cc3N(CC(=O)O)CC(=O)O)ccc2c1,541.51,3,13,14,True,True
5163,Cn1ccc2cc3c(cc21)CCN3C(=O)Nc1cccnc1,292.34,3,5,1,True,True
5257,CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC(C)N1,392.41,2,7,3,True,True
5274,CCCOc1cc(N2CCOCCOCCN(c3cc(OCCC)c(OCCC)c4ccc(C)nc34)CCOCC2)c2nc(C)ccc2c1OCCC,732.96,4,11,14,True,True
5379,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,375.4,2,7,4,True,True
